"Stkcd","Trdmnt","Mnshrtrd","Mnvaltrd","Msmvosd"
"000157","2015-03","4241608526","28827859277.369999","45830483.350000001"
"000157","2015-02","1126377503","6844497264.1700001","39193828.659999996"
"000157","2015-01","3169473633","20655588297.48","38317289.359999999"
"000157","2014-12","8270742857","52745006020.080002","44202624.649999999"
"000157","2014-11","2449968743","12497195760.51","32307646.059999999"
"000157","2014-10","1448346636","7014215425.7799997","30491906.27"
"000157","2014-09","1743963922","8447535999.46","30617129.699999999"
"000166","2019-08","811069304","3864324646.1999998","107714499.90000001"
"000166","2019-07","813287912","4036595067.1700001","110193285.45999999"
"000166","2019-06","1198587479","5919556518.9700003","112897415.17"
"000166","2019-05","1049886572","4972207131.9700003","106362435.05"
"000166","2019-04","2545607221","14223370867.25","115826889.01000001"
"000166","2019-03","4281737205","24354737170.810001","124389966.41"
"000166","2019-02","2028594523","10940764651.9","123939278.13"
"000166","2019-01","667199969","2901109134.1900001","88524286.829999998"
"000166","2018-12","450132004","1934349396.74","81514445.120000005"
"000166","2018-11","924905145","4221902854.9099998","88924849.219999999"
"000166","2018-10","643571353","2786052792.4000001","89325411.599999994"
"000166","2018-09","302452315","1352510090.51","90126536.370000005"
"000166","2018-08","330325279","1447144832.73","89325411.599999994"
"000166","2018-07","323586503","1420400849.3199999","88924849.219999999"
"000166","2018-06","364389552","1652618867.1700001","87522880.870000005"
"000166","2018-05","492415233","2375970500.1599998","92930473.060000002"
"000166","2018-04","302447997","1456862219.49","92930473.060000002"
"000166","2018-03","473618853","2362910814.48","99539752.390000001"
"000166","2018-02","460016516","2376109835.5999999","100541158.34999999"
"000166","2018-01","864634327","4758789939.7700005","39643534.170000002"
"000166","2017-12","464638255","2513768395.1900001","39791734.289999999"
"000166","2017-11","623445272","3518014670.48","42014736.210000001"
"000166","2017-10","411148828","2388665552.9400001","41866536.079999998"
"000166","2017-09","703875828","4208829774.6700001","43200337.229999997"
"000166","2017-08","1123067627","6681961366.0200005","44695672.600000001"
"000166","2017-07","877770356","5066574369.8100004","43453795.93"
"000166","2017-06","634772532","3569532478.3800001","41174493.609999999"
"000166","2017-05","637979156","3555268677.1300001","41909752.420000002"
"000166","2017-04","563700936","3454692312.1900001","42632010.43"
"000166","2017-03","771086806","4862389471.5","44545498.240000002"
"000166","2017-02","836503250","5378446205.1199999","46054297.369999997"
"000166","2017-01","92589004","582676602.33000004","45427597.329999998"
"000166","2016-12","737921997","4814591508.9300003","44995639.189999998"
"000166","2016-11","1976717014","13552859941.790001","49819171.719999999"
"000166","2016-10","579687586","3725511301.1999998","46435499.649999999"
"000166","2016-09","571003316","3597803628.2600002","45067632.219999999"
"000166","2016-08","1003577185","6500126647.5500002","46711054.289999999"
"000166","2016-07","1103384283","7462300734.3000002","44411433.159999996"
"000166","2016-06","720107023","5946568616.9499998","44768087.369999997"
"000166","2016-05","603387852","4946583885.3199997","45460102.990000002"
"000166","2016-04","769981340","6723953425.3100004","44714855.399999999"
"000166","2016-03","1514551057","12901451200.129999","47323221.960000001"
"000166","2016-02","628291802","5088768938.9300003","38860874.670000002"
"000166","2016-01","883411150","7892917235.6899996","42469758.049999997"
"000166","2015-12","1490243364","16262027682.040001","35110027.280000001"
"000166","2015-11","3089657001","35206961160.970001","34126553.119999997"
"000166","2015-10","1364913352","13029192351.52","31864562.57"
"000166","2015-09","1264629608","11450235853","28127360.789999999"
"000166","2015-08","1754833668","21450274315.07","30782741"
"000166","2015-07","3935483913","56007070969.419998","43469557.579999998"
"000166","2015-06","3445498405","63142036236.279999","53271516.640000001"
"000166","2015-05","4191160286","77376894592.479996","61303222.229999997"
"000166","2015-04","4865032791","90760033151.919998","59598533.700000003"
"000166","2015-03","4637679243","77410303800.839996","56582546.289999999"
"000166","2015-02","2942566180","46118023803.529999","51665175.530000001"
"000166","2015-01","2946118265","53981902803.690002","55238464.950000003"
"000338","2019-08","946372976","10661493988.459999","49157513.990000002"
"000338","2019-07","1165990473","14424534561.639999","51647522.109999999"
"000338","2019-06","1154120616","14064776768.950001","52156782.810000002"
"000338","2019-05","1693230492","19812119138.52","49652917.729999997"
"000338","2019-04","2396489179","31705368750.18","52411413.159999996"
"000338","2019-03","2036220599","22322581127.860001","50289493.600000001"
"000338","2019-02","1091322891","10336219437.809999","40571102.009999998"
"000338","2019-01","838938735","6900522385.9899998","37557976.229999997"
"000338","2018-12","581443741","4488084022.9200001","33189299.690000001"
"000338","2018-11","800773714","6032926957.8299999","32413445.93"
"000338","2018-10","757999730","6000015357.6300001","32111725.02"
"000338","2018-09","733050345","5944783712.3900003","36853053.549999997"
"000338","2018-08","889322382","7026354288.2200003","34482389.289999999"
"000338","2018-07","1418688990","12108671090.870001","36809784.149999999"
"000338","2018-06","2043513258","18694330334.389999","37759157.25"
"000338","2018-05","921903179","7778277901.54","37672850.600000001"
"000338","2018-04","928439423","7845285736.4799995","35687797.770000003"
"000338","2018-03","1044958575","8594037576.4599991","35644644.439999998"
"000338","2018-02","957442068","8118193911.2799997","36710857.350000001"
"000338","2018-01","1976975508","17569958167.439999","37920156.18"
"000338","2017-12","1409354078","11162234379.360001","36019829.450000003"
"000338","2017-11","2331918804","20084468368.18","35156044.57"
"000338","2017-10","1171971133","9170265039.6900005","36063018.689999998"
"000338","2017-09","1181095927","8804404219.5300007","32348743.710000001"
"000338","2017-08","1492298321","10364957722.309999","31096255.640000001"
"000338","2017-07","1785891509","19034078272.049999","30275660"
"000338","2017-06","967742885","11831937887.91","28504816.07"
"000338","2017-05","433767021","4717747856.4799995","24099526.32"
"000338","2017-04","625133311","7191789812.2299995","24229093.66"
"000338","2017-03","602202558","6863357734.0299997","24293877.329999998"
"000338","2017-02","457637546","5259792645.04","24337066.449999999"
"000338","2017-01","396434227","4187936404.98","23991553.530000001"
"000338","2016-12","748284786","7974517047.04","21508179.399999999"
"000338","2016-11","678588721","6885290900.0600004","22026448.780000001"
"000338","2016-10","395893370","3755488723.2199998","20622802.539999999"
"000338","2016-09","362176599","3256268975.7600002","19888587.579999998"
"000338","2016-08","637381094","5759145382.9399996","19132778.059999999"
"000338","2016-07","559459042","4647518856.75","18916832.48"
"000338","2016-06","288140890","2239687161.23","16865349.510000002"
"000338","2016-05","263572201","2063708823.97","17077556.649999999"
"000338","2016-04","452055771","3775332546.1399999","16821044.98"
"000338","2016-03","581742562","4651974348.6300001","16904731.77"
"000338","2016-02","373199497","2769600766.4499998","14896248.789999999"
"000338","2016-01","420610631","3460567654.79","15126387.470000001"
"000338","2015-12","604306788","5959150436.0699997","20210360.02"
"000338","2015-11","915030035","9086897513.5100002","19624552.48"
"000338","2015-10","557353239","5124330859.8699999","18808606.27"
"000338","2015-09","642502774","5985802560.0500002","17804364.780000001"
"000338","2015-08","794582214","13377824940.120001","19708239.27"
"000338","2015-07","1168686955","28831296630.490002","23495066.559999999"
"000338","2015-06","1454508054","49626445533.760002","33119047.52"
"000338","2015-05","1018058912","32027492191.650002","32219414.52"
"000338","2015-04","1126384507","37680033267.019997","32962134.789999999"
"000338","2015-03","767143006","22141843729.630001","32721535.27"
"000338","2015-02","224812612","5915448649.3000002","28129222.609999999"
"000338","2015-01","662866643","18631748962.459999","27449267.43"
"000338","2014-12","1091445505","27849173710.830002","28547656.57"
"000338","2014-11","555804957","11703642293.709999","22825572.23"
"000338","2014-10","265912841","5343705239.54","19741429.73"
"000338","2014-09","335143488","6872167159.4300003","19692877.27"
"000488","2019-08","242198645","1177175497.96","7636575.6500000004"
"000488","2019-07","339926890","1864722642.9100001","8820583.0999999996"
"000488","2019-06","220162910","1173228550.29","8886903.2699999996"
"000488","2019-05","357497305","1972014509.6400001","8953223.4499999993"
"000488","2019-04","1296590234","8877734509.4699993","9865125.8300000001"
"000488","2019-03","943435973","6476989319.5799999","11202370"
"000488","2019-02","583851249","3762596043.4499998","11318370.880000001"
"000488","2019-01","281343434","1638946245.22","9362927.5899999999"
"000488","2018-12","293196682","1758789635.8699999","9296641.3800000008"
"000488","2018-11","528042717","3218354373.7800002","9727501.7599999998"
"000488","2018-10","309029643","1764820387.1400001","9329784.4900000002"
"000488","2018-09","323987915","2062890322.6199999","10672080.300000001"
"000488","2018-08","493197403","4221880666.1399999","11026260.810000001"
"000488","2018-07","361801721","4398884110.8800001","13961070.08"
"000488","2018-06","278071232","3706986930.52","14281633.050000001"
"000488","2018-05","348808759","5201549747.96","15608100.52"
"000488","2018-04","332957203","5387562720.6800003","16238172.560000001"
"000488","2018-03","523933309","9428910256.7700005","19300101.629999999"
"000488","2018-02","601630206","10876329325.48","20033216.18"
"000488","2018-01","880243802","15913921027.469999","20221165.780000001"
"000488","2017-12","387165205","6395624756.29","18430116.649999999"
"000488","2017-11","576235238","9802332290.1000004","19524646.68"
"000488","2017-10","482984423","8921856012.8199997","19812099.010000002"
"000488","2017-09","801064788","14360364626.450001","21680539.149999999"
"000488","2017-08","790963447","12963352312.360001","18021049.879999999"
"000488","2017-07","1054157486","15887967679.1","18463374.309999999"
"000488","2017-06","646181652","7988964624.0900002","14262127.460000001"
"000488","2017-05","339406601","3857988956.79","12769579.24"
"000488","2017-04","524588585","6472085182.54","13189703.92"
"000488","2017-03","507381217","6189997107.3100004","13399766.27"
"000488","2017-02","663637491","8251090846.3100004","13919394.16"
"000488","2017-01","622812023","6986543554.6400003","13267095.310000001"
"000488","2016-12","1109262046","12116369921.049999","11446238.289999999"
"000488","2016-11","703969846","7191675710.6700001","11855032.52"
"000488","2016-10","341436043","3249496367.7199998","10518164.92"
"000488","2016-09","357354102","3172223878.0799999","10131467.68"
"000488","2016-08","627487562","5647706729.8699999","9800012.9000000004"
"000488","2016-07","717137209","6104845500.4399996","9954691.8000000007"
"000488","2016-06","430616516","3367184257.4200001","8772503.0899999999"
"000488","2016-05","342787090","2860896712.3899999","9116557.2100000009"
"000488","2016-04","401419881","3474593858.5999999","9204960.1799999997"
"000488","2016-03","452948403","3570245440.7399998","9359665.4000000004"
"000488","2016-02","264033084","2009045230.21","7691059.1699999999"
"000488","2016-01","396719308","2972753172.4200001","8099922.9500000002"
"000488","2015-12","473460554","4187347607.6599998","9856932.1500000004"
"000488","2015-11","721852071","6806962654.1499996","9669075.8200000003"
"000488","2015-10","572567846","4659307008.0799999","9901133.6400000006"
"000488","2015-09","634003078","4270046302.02","6983835.3399999999"
